"Date","Open","High","Low","Close","MA ‌ma‌ (13,ema,0)","MA ‌ma‌ (20,ema,0,n)","MA ‌ma‌ (100,ema,0,n)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Bullish ‌dsCandle‌"
"Thu Aug 03 2023 13:15:00 GMT+0530 (India Standard Time)","19359.65","19366.65","19331.45","19339.00","19425.09","19448.84","19585.55","19578.69","19465.76","19352.84","19339.00"
"Thu Aug 03 2023 13:30:00 GMT+0530 (India Standard Time)","19338.85","19360.15","19333.40","19333.50","19412.01","19437.85","19580.56","19583.83","19457.86","19331.89","19333.50"
"Thu Aug 03 2023 13:45:00 GMT+0530 (India Standard Time)","19334.70","19348.40","19314.75","19315.15","19398.17","19426.17","19575.30","19580.61","19446.49","19312.37","19315.15"
"Thu Aug 03 2023 14:00:00 GMT+0530 (India Standard Time)","19314.50","19334.70","19297.85","19310.90","19385.70","19415.19","19570.06","19578.83","19436.30","19293.76","19310.90"
"Thu Aug 03 2023 14:15:00 GMT+0530 (India Standard Time)","19311.40","19341.00","19304.50","19337.35","19378.80","19407.77","19565.46","19570.22","19427.09","19283.96","19337.35"
"Thu Aug 03 2023 14:30:00 GMT+0530 (India Standard Time)","19339.05","19351.45","19316.15","19317.40","19370.03","19399.17","19560.54","19565.42","19418.23","19271.04","19317.40"
"Thu Aug 03 2023 14:45:00 GMT+0530 (India Standard Time)","19316.95","19346.40","19303.25","19346.40","19366.65","19394.14","19556.30","19555.83","19410.53","19265.23",""
"Thu Aug 03 2023 15:00:00 GMT+0530 (India Standard Time)","19346.40","19390.10","19346.15","19390.10","19370.00","19393.76","19553.01","19548.02","19406.05","19264.08","19390.10"
"Thu Aug 03 2023 15:15:00 GMT+0530 (India Standard Time)","19389.55","19406.50","19386.45","19394.45","19373.49","19393.82","19549.87","19539.83","19401.82","19263.81","19394.45"
"Fri Aug 04 2023 09:15:00 GMT+0530 (India Standard Time)","19462.80","19493.15","19450.90","19480.85","19388.83","19402.11","19548.51","19540.65","19402.08","19263.50","19480.85"
"Fri Aug 04 2023 09:30:00 GMT+0530 (India Standard Time)","19481.40","19498.10","19442.05","19443.25","19396.60","19406.03","19546.42","19532.09","19399.29","19266.49",""
"Fri Aug 04 2023 09:45:00 GMT+0530 (India Standard Time)","19443.30","19460.90","19436.45","19456.70","19405.19","19410.86","19544.64","19524.72","19397.16","19269.60","19456.70"
"Fri Aug 04 2023 10:00:00 GMT+0530 (India Standard Time)","19455.90","19481.80","19447.60","19478.40","19415.65","19417.29","19543.33","19521.97","19396.44","19270.90","19478.40"
"Fri Aug 04 2023 10:15:00 GMT+0530 (India Standard Time)","19479.05","19490.95","19469.90","19470.40","19423.47","19422.35","19541.89","19516.13","19394.94","19273.75","19470.40"
"Fri Aug 04 2023 10:30:00 GMT+0530 (India Standard Time)","19469.75","19471.95","19439.70","19466.95","19429.68","19426.59","19540.40","19512.47","19393.96","19275.46","19466.95"
"Fri Aug 04 2023 10:45:00 GMT+0530 (India Standard Time)","19467.00","19470.00","19446.25","19470.00","19435.44","19430.73","19539.01","19514.38","19394.54","19274.69","19470.00"
"Fri Aug 04 2023 11:00:00 GMT+0530 (India Standard Time)","19470.15","19489.30","19470.15","19471.65","19440.61","19434.63","19537.68","19521.36","19397.21","19273.06",""
"Fri Aug 04 2023 11:15:00 GMT+0530 (India Standard Time)","19472.50","19518.95","19470.10","19517.45","19451.59","19442.51","19537.28","19537.93","19403.16","19268.39","19517.45"
"Fri Aug 04 2023 11:30:00 GMT+0530 (India Standard Time)","19517.55","19523.00","19504.20","19510.90","19460.06","19449.03","19536.75","19551.79","19410.51","19269.23","19510.90"
"Fri Aug 04 2023 11:45:00 GMT+0530 (India Standard Time)","19510.85","19531.70","19510.85","19517.05","19468.20","19455.50","19536.36","19564.89","19418.39","19271.90",""
"Fri Aug 04 2023 12:00:00 GMT+0530 (India Standard Time)","19517.00","19525.65","19499.45","19525.65","19476.41","19462.19","19536.15","19576.56","19427.73","19278.89","19525.65"
"Fri Aug 04 2023 12:15:00 GMT+0530 (India Standard Time)","19526.85","19538.45","19525.95","19531.90","19484.34","19468.82","19536.07","19586.48","19437.65","19288.81","19531.90"
"Fri Aug 04 2023 12:30:00 GMT+0530 (India Standard Time)","19531.40","19531.40","19493.25","19521.00","19489.58","19473.79","19535.77","19589.78","19447.94","19306.10","19521.00"
"Fri Aug 04 2023 12:45:00 GMT+0530 (India Standard Time)","19521.20","19530.25","19507.10","19508.65","19492.30","19477.11","19535.23","19587.09","19457.83","19328.56","19508.65"
"Fri Aug 04 2023 13:00:00 GMT+0530 (India Standard Time)","19508.70","19526.80","19505.70","19514.35","19495.45","19480.66","19534.82","19585.55","19466.68","19347.80","19514.35"
"Fri Aug 04 2023 13:15:00 GMT+0530 (India Standard Time)","19515.45","19524.50","19500.90","19506.95","19497.09","19483.16","19534.27","19574.33","19476.15","19377.97",""
"Fri Aug 04 2023 13:30:00 GMT+0530 (India Standard Time)","19507.10","19515.10","19467.80","19494.95","19496.79","19484.29","19533.49","19561.83","19483.58","19405.33","19494.95"
"Fri Aug 04 2023 13:45:00 GMT+0530 (India Standard Time)","19494.80","19496.60","19461.60","19462.75","19491.92","19482.24","19532.09","19553.61","19487.21","19420.81","19462.75"
"Fri Aug 04 2023 14:00:00 GMT+0530 (India Standard Time)","19461.45","19487.65","19450.70","19482.45","19490.57","19482.26","19531.10","19542.75","19491.61","19440.48",""
"Fri Aug 04 2023 14:15:00 GMT+0530 (India Standard Time)","19482.45","19487.70","19464.45","19481.60","19489.29","19482.19","19530.12","19542.76","19491.65","19440.54","19481.60"
"Fri Aug 04 2023 14:30:00 GMT+0530 (India Standard Time)","19481.00","19514.60","19468.35","19506.65","19491.77","19484.52","19529.66","19541.17","19494.82","19448.47","19506.65"
"Fri Aug 04 2023 14:45:00 GMT+0530 (India Standard Time)","19506.35","19525.90","19500.80","19506.95","19493.94","19486.66","19529.21","19540.48","19497.33","19454.19","19506.95"
"Fri Aug 04 2023 15:00:00 GMT+0530 (India Standard Time)","19508.85","19524.80","19508.85","19524.25","19498.27","19490.24","19529.11","19543.37","19499.63","19455.88","19524.25"
