"Date","Open","High","Low","Close","MA ‌ma‌ (13,ema,0)","MA ‌ma‌ (20,ema,0,n)","MA ‌ma‌ (100,ema,0,n)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Bullish ‌dsCandle‌"
"Fri Jul 28 2023 11:15:00 GMT+0530 (India Standard Time)","19607.70","19616.30","19587.80","19607.45","19636.39","19655.54","19723.34","19741.28","19655.86","19570.43","19607.45"
"Fri Jul 28 2023 11:30:00 GMT+0530 (India Standard Time)","19607.65","19609.65","19581.90","19584.55","19628.99","19648.78","19720.59","19734.17","19648.99","19563.82","19584.55"
"Fri Jul 28 2023 11:45:00 GMT+0530 (India Standard Time)","19584.50","19603.65","19579.50","19599.30","19624.74","19644.07","19718.19","19721.06","19642.36","19563.65",""
"Fri Jul 28 2023 12:00:00 GMT+0530 (India Standard Time)","19599.20","19600.55","19573.85","19579.95","19618.35","19637.96","19715.45","19713.91","19636.13","19558.36","19579.95"
"Fri Jul 28 2023 12:15:00 GMT+0530 (India Standard Time)","19579.60","19590.40","19565.25","19584.90","19613.57","19632.91","19712.87","19705.16","19630.33","19555.51","19584.90"
"Fri Jul 28 2023 12:30:00 GMT+0530 (India Standard Time)","19585.50","19609.05","19581.70","19604.85","19612.32","19630.23","19710.73","19691.69","19625.18","19558.68","19604.85"
"Fri Jul 28 2023 12:45:00 GMT+0530 (India Standard Time)","19604.90","19605.55","19582.20","19587.70","19608.80","19626.18","19708.29","19679.64","19619.77","19559.90","19587.70"
"Fri Jul 28 2023 13:00:00 GMT+0530 (India Standard Time)","19587.90","19611.20","19587.90","19607.75","19608.65","19624.43","19706.30","19673.40","19616.95","19560.50","19607.75"
"Fri Jul 28 2023 13:15:00 GMT+0530 (India Standard Time)","19607.90","19607.90","19583.20","19590.90","19606.12","19621.23","19704.02","19672.24","19615.01","19557.78","19590.90"
"Fri Jul 28 2023 13:30:00 GMT+0530 (India Standard Time)","19591.15","19598.50","19564.50","19565.60","19600.33","19615.94","19701.28","19674.06","19612.97","19551.89","19565.60"
"Fri Jul 28 2023 13:45:00 GMT+0530 (India Standard Time)","19565.60","19588.20","19563.60","19588.05","19598.58","19613.28","19699.03","19666.26","19609.14","19552.03",""
"Fri Jul 28 2023 14:00:00 GMT+0530 (India Standard Time)","19588.90","19598.95","19578.70","19597.25","19598.39","19611.75","19697.02","19643.06","19603.99","19564.93","19597.25"
"Fri Jul 28 2023 14:15:00 GMT+0530 (India Standard Time)","19597.70","19628.25","19595.50","19618.35","19601.24","19612.38","19695.46","19643.92","19604.42","19564.93","19618.35"
"Fri Jul 28 2023 14:30:00 GMT+0530 (India Standard Time)","19618.40","19622.40","19581.60","19589.85","19599.61","19610.24","19693.37","19639.24","19602.10","19564.97","19589.85"
"Fri Jul 28 2023 14:45:00 GMT+0530 (India Standard Time)","19589.80","19627.30","19588.80","19626.05","19603.39","19611.74","19692.04","19634.37","19601.11","19567.86","19626.05"
"Fri Jul 28 2023 15:00:00 GMT+0530 (India Standard Time)","19624.85","19663.55","19624.85","19651.90","19610.32","19615.57","19691.24","19642.16","19602.78","19563.41","19651.90"
